Route	Actual_Path_Weight	Optimal_Path_Weight
1	10211	10211
2	10211	10211
3	10211	10211
4	10211	10211
5	10211	10211
6	10211	10211
7	10211	10211
8	10211	10211
9	10211	10211
10	10211	10211
11	10211	10211
12	10211	10211
13	10211	10211
14	10211	10211
15	10211	10211
16	10211	10211
17	10211	10211
18	10211	10211
19	10211	10211
20	10211	10211
21	10211	10211
22	10211	10211
23	10211	10211
24	10211	10211
25	10211	10211
26	10211	10211
27	10211	10211
28	10211	10211
29	10211	10211
30	10211	10211
31	10211	10211
32	10211	10211
33	10211	10211
34	10211	10211
35	10211	10211
36	10211	10211
37	10211	10211
38	10211	10211
39	10211	10211
40	10211	10211
41	10211	10211
42	10211	10211
43	10211	10211
44	10211	10211
45	10211	10211
46	10211	10211
47	10211	10211
48	10211	10211
49	10211	10211
50	10211	10211
51	10211	10211
52	10211	10211
53	10211	10211
54	10111	10111
55	10111	10111
56	10211	10211
57	10211	10211
58	10211	10211
59	10211	10211
60	10211	10211
61	10111	10111
62	10111	10111
63	10111	10111
64	10111	10111
65	10111	10111
66	10111	10111
67	10111	10111
68	10111	10111
69	10111	10111
70	10111	10111
71	10111	10111
72	10111	10111
73	10111	10111
74	10111	10111
75	10111	10111
76	10111	10111
77	10111	10111
78	10111	10111
79	10111	10111
80	10111	10111
81	10111	10111
82	10111	10111
83	10111	10111
84	10111	10111
85	10111	10111
86	10111	10111
87	10111	10111
88	10111	10111
89	10111	10111
90	10111	10111
91	10111	10111
92	10216	10216
93	10216	10216
94	10216	10216
95	10216	10216
96	10216	10216
97	10216	10216
98	10216	10216
99	10216	10216
100	10216	10216
101	10216	10216
102	10216	10216
103	10216	10216
104	10216	10216
105	10216	10216
106	10216	10216
107	10216	10216
108	10216	10216
109	10216	10216
110	10216	10216
111	10216	10216
112	10216	10216
113	10216	10216
114	10216	10216
115	10216	10216
116	10216	10216
117	10216	10216
118	10216	10216
119	10216	10216
120	10216	10216
121	10216	10216
122	10216	10216
123	10216	10216
124	10216	10216
125	10216	10216
126	10216	10216
127	10216	10216
128	10216	10216
129	10216	10216
130	10216	10216
131	10216	10216
132	10216	10216
133	10216	10216
134	10216	10216
135	10216	10216
136	10216	10216
137	10216	10216
138	10216	10216
139	10216	10216
140	10216	10216
141	10216	10216
142	10216	10216
143	10216	10216
144	10216	10216
145	10116	10116
146	10116	10116
147	10216	10216
148	10216	10216
149	10216	10216
150	10216	10216
151	10216	10216
152	10116	10116
153	10116	10116
154	10116	10116
155	10116	10116
156	10116	10116
157	10116	10116
158	10116	10116
159	10116	10116
160	10116	10116
161	10116	10116
162	10116	10116
163	10116	10116
164	10116	10116
165	10116	10116
166	10116	10116
167	10116	10116
168	10116	10116
169	10116	10116
170	10116	10116
171	10116	10116
172	10116	10116
173	10116	10116
174	10116	10116
175	10116	10116
176	10116	10116
177	10116	10116
178	10116	10116
179	10116	10116
180	10116	10116
181	10116	10116
182	10116	10116
183	10200	10200
184	10200	10200
185	10020	10020
186	10020	10020
187	10020	10020
188	10020	10020
189	10020	10020
190	10000	10000
191	10000	10000
192	10000	10000
193	10000	10000
194	10000	10000
195	10000	10000
196	10000	10000
197	10000	10000
198	10000	10000
199	10000	10000
200	10000	10000
201	10000	10000
202	10000	10000
203	10000	10000
204	10000	10000
205	10000	10000
206	10000	10000
207	10000	10000
208	10000	10000
209	10000	10000
210	10000	10000
211	10000	10000
212	10000	10000
213	10000	10000
214	10000	10000
215	10000	10000
216	10000	10000
217	10000	10000
218	10000	10000
219	10000	10000
220	10000	10000
221	10000	10000
222	10000	10000
223	10000	10000
224	10000	10000
225	10000	10000
226	10000	10000
227	10000	10000
228	10000	10000
229	10000	10000
230	10000	10000
231	10000	10000
232	10000	10000
233	10000	10000
234	10000	10000
235	10000	10000
236	10000	10000
237	10000	10000
238	10000	10000
239	10000	10000
240	10000	10000
241	10000	10000
242	10000	10000
243	10000	10000
244	10000	10000
245	10000	10000
246	10000	10000
247	10000	10000
248	10100	10100
249	10100	10100
250	10000	10000
251	10000	10000
252	10000	10000
253	10000	10000
254	10000	10000
255	10100	10100
256	10100	10100
257	10100	10100
258	10100	10100
259	10100	10100
260	10100	10100
261	10100	10100
262	10100	10100
263	10100	10100
264	10100	10100
265	10100	10100
266	10100	10100
267	10100	10100
268	10100	10100
269	10100	10100
270	10100	10100
271	10100	10100
272	10100	10100
273	10100	10100
274	10100	10100
275	10100	10100
276	10100	10100
277	10100	10100
278	10100	10100
279	10100	10100
280	10100	10100
281	10100	10100
282	10100	10100
283	10100	10100
284	10100	10100
285	10100	10100
286	8210	2200
287	3100	3100
288	3100	3100
289	3100	3100
290	3100	3100
291	3100	3100
292	3100	3100
293	3100	3100
294	3100	3100
295	3100	3100
296	3100	3100
297	3100	3100
298	3100	3100
299	3100	3100
300	3100	3100
301	3100	3100
302	3100	3100
303	3100	3100
304	3100	3100
305	3100	3100
306	3100	3100
307	3100	3100
308	3100	3100
309	3100	3100
310	3100	3100
311	3100	3100
312	3100	3100
313	3100	3100
314	3100	3100
315	3100	3100
316	3100	3100
317	3100	3100
318	3100	3100
319	3100	3100
320	3100	3100
321	3100	3100
322	3100	3100
323	3100	3100
324	3100	3100
325	3100	3100
326	3100	3100
327	3100	3100
328	3100	3100
329	3100	3100
330	3100	3100
331	3100	3100
332	3100	3100
333	3100	3100
334	3210	3210
335	3210	3210
336	3100	3100
337	3100	3100
338	3100	3100
339	3100	3100
340	3100	3100
341	3210	3210
342	3210	3210
343	3210	3210
344	3210	3210
345	3210	3210
346	3210	3210
347	3210	3210
348	3210	3210
349	3210	3210
350	3210	3210
351	3210	3210
352	3210	3210
353	3210	3210
354	3210	3210
355	3210	3210
356	3210	3210
357	3210	3300
358	3210	3210
359	3210	3210
360	3210	3210
361	3210	3210
362	3210	3210
363	3210	3210
364	3210	3210
365	3210	3210
366	11310	11310
367	11310	11310
368	11310	11310
369	11310	11310
370	11310	11310
371	11310	11310
372	11310	11310
373	11310	11310
374	11310	11310
375	11310	11310
376	11310	11310
377	3510	2310
378	11310	11310
379	11310	11310
380	18320	11310
381	11310	11310
382	11310	11310
383	11310	11310
384	11310	11310
385	11310	11310
386	3510	2310
387	3510	2310
388	18320	11310
389	11310	11310
390	11310	11310
391	11310	11310
392	11310	11310
393	11310	11310
394	11310	11310
395	11310	11310
396	11310	11310
397	11310	11310
398	11310	11310
399	11310	11310
400	11310	11310
401	11310	11310
402	11310	11310
403	11310	11310
404	11310	11310
405	11310	11310
406	11310	11310
407	11310	11310
408	11310	11310
409	11310	11310
410	11310	11310
411	11310	11310
412	11310	11310
413	11310	11310
414	11310	11310
415	11310	11310
416	11310	11310
417	11310	11310
418	11310	11310
419	11310	11310
420	11310	11310
421	11310	11310
422	11310	11310
423	11310	11310
424	11310	11310
425	11310	11310
426	11330	11330
427	11330	11330
428	11310	11310
429	11310	11310
430	11310	11310
431	11310	11310
432	11310	11310
433	11330	11330
434	11330	11330
435	11330	11330
436	11330	11330
437	11330	11330
438	11330	11330
439	11330	11330
440	11330	11330
441	11330	11330
442	11330	11330
443	11330	11330
444	11330	11330
445	3130	2330
446	18340	11330
447	18330	11330
448	18330	11330
449	18330	11330
450	11330	11330
451	11330	11330
452	11330	11330
453	11330	11330
454	11330	11330
455	11510	11330
456	3130	2330
457	18330	11330
458	18330	11330
459	11330	11330
460	11330	11510
461	11330	11330
462	11330	11330
463	11330	11330
464	11330	11330
465	11330	11330
466	11330	11330
467	11330	11330
468	11330	11330
469	11330	11330
470	11330	11330
471	11330	11330
472	9999	9999
473	12009	12009
474	12009	12009
475	9180	1100
476	9100	1100
477	11010	11010
478	11010	11010
479	11010	11010
480	11010	11010
481	11010	11010
482	11010	11010
483	11010	11010
484	11010	11010
485	11010	11010
486	11010	11010
487	11010	11010
488	11010	11010
489	11010	11010
490	11010	11010
491	11010	11010
492	11010	11010
493	11010	11010
494	11010	11010
495	11010	11010
496	11010	11010
497	11010	11010
498	11010	11010
499	11010	11010
500	11010	11010
501	11010	11010
502	11010	11010
503	11010	11010
504	11010	11010
505	11010	11010
506	11010	11010
507	11010	11010
508	11010	11010
509	11010	11010
510	11010	11010
511	11010	11010
512	11010	11010
513	11010	11010
514	11010	11010
515	11010	11010
516	11010	11010
517	11010	11010
518	11010	11010
519	11010	11010
520	11010	11010
521	11010	11010
522	11010	11010
523	11010	11010
524	11010	11010
525	11010	11010
526	11010	11010
527	11010	11010
528	11010	11010
529	11010	11010
530	11110	11110
531	11110	11110
532	11010	11010
533	11010	11010
534	11010	11010
535	11010	11010
536	11010	11010
537	11110	11110
538	11110	11110
539	11110	11110
540	11110	11110
541	11110	11110
542	11110	11110
543	11110	11110
544	11110	11110
545	11110	11110
546	11110	11110
547	11110	11110
548	11110	11110
549	11110	11110
550	11110	11110
551	11110	11110
552	11110	11110
553	11110	11110
554	11110	11110
555	11110	11110
556	11110	11110
557	11110	11110
558	11110	11110
559	11110	11110
560	11110	11110
561	11110	11110
562	11110	11110
563	11110	11110
564	11110	11110
565	11110	11110
566	11110	11110
567	11110	11110
568	12099	12099
569	12099	12099
570	12099	12099
571	12099	12099
572	12099	12099
573	79992	0
574	81092	1100
575	82092	2100
576	inf	inf
577	inf	inf
578	9100	1200
579	inf	inf
580	inf	inf
581	inf	inf
582	inf	inf
583	inf	inf
584	inf	inf
585	inf	inf
586	inf	inf
587	inf	inf
588	inf	inf
589	inf	inf
590	inf	inf
